127.0.0.1 - - [16/Nov/2024:09:04:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:05 +0530] "GET /Online-Exam-Management-Web-App/Home.jsp HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:07 +0530] "GET /Online-Exam-Management-Web-App/teacherLogin.jsp HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:07 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:07 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert-dev.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:30 +0530] "GET /Online-Exam-Management-Web-App/teacherLogin.jsp HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:30 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert-dev.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:30 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:56 +0530] "POST /Online-Exam-Management-Web-App/TeacherLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:56 +0530] "GET /Online-Exam-Management-Web-App/admindashboard.jsp HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:58 +0530] "GET /Online-Exam-Management-Web-App/Home.jsp HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:59 +0530] "GET /Online-Exam-Management-Web-App/teacherLogin.jsp HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:59 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert.css HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:04:59 +0530] "GET /Online-Exam-Management-Web-App/alert/dist/sweetalert-dev.js HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:06:28 +0530] "POST /Online-Exam-Management-Web-App/TeacherLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:06:28 +0530] "GET /Online-Exam-Management-Web-App/admindashboard.jsp HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:06:33 +0530] "GET /Online-Exam-Management-Web-App/examForm.jsp HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:06:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:07:25 +0530] "POST /Online-Exam-Management-Web-App/ExamInsertServlet HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:07:27 +0530] "GET /Online-Exam-Management-Web-App/GetAllExamServlet HTTP/1.1" 200 13471
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:07:34 +0530] "GET /Online-Exam-Management-Web-App/examupdate.jsp?paperID=36&Title=OSSA%20final%20exam%202023&Date=2024-11-30&TotalParticipants=2500&Duration=120&TotalQuestions=10&Time=12:10&Password=100 HTTP/1.1" 200 5204
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:07:52 +0530] "POST /Online-Exam-Management-Web-App/ExamUpdateServlet HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:07:53 +0530] "GET /Online-Exam-Management-Web-App/GetAllExamServlet HTTP/1.1" 200 13471
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:08:02 +0530] "POST /Online-Exam-Management-Web-App/ExamDeleteServlet HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:08:03 +0530] "GET /Online-Exam-Management-Web-App/GetAllExamServlet HTTP/1.1" 200 12483
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:08:10 +0530] "GET /Online-Exam-Management-Web-App/examForm.jsp HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:08:39 +0530] "POST /Online-Exam-Management-Web-App/ExamInsertServlet HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:08:40 +0530] "GET /Online-Exam-Management-Web-App/examForm.jsp HTTP/1.1" 200 7916
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:08:47 +0530] "GET /Online-Exam-Management-Web-App/admindashboard.jsp HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:08:48 +0530] "GET /Online-Exam-Management-Web-App/Home.jsp HTTP/1.1" 200 7402
